cbprecinct,precinct
1,11
1,15
1,16
1,18
1,19
1,20
1,22
1,23
1,25
2,32
2,33
2,34
2,38
2,39
2,40
2,41
2,43
2,502
3,61
3,62
3,64
3,65
3,66
3,68
3,70
4,71
4,72
4,73
4,74
4,86
4,88
4,173
4,174
4,175
5,176
5,177
5,178
5,180
5,182
5,183
5,184
5,185
6,188
6,189
6,190
6,191
6,192
6,193
6,194
6,195
6,197
7,78
7,79
7,80
8,172
9,44
9,50
9,51
9,52
9,53
9,81
9,82
9,83
9,84
9,85
10,35
10,45
10,46
10,55
11,69
11,143
11,443
12,457
12,460
12,461
12,462
12,470
12,471
12,472
12,473
13,474
13,475
13,477
13,479
13,480
13,481
13,482
13,483
13,484
13,485
14,447
14,449
15,416
15,418
15,420
15,450
16,422
16,423
16,424
16,425
16,452
16,453
17,417
17,419
18,166
19,405
19,409
19,414
19,415
19,421
20,221
20,222
20,238
20,239
20,259
20,260
21,14
21,49
22,90
22,100
22,161
22,162
22,167
22,168
22,169
22,437
22,438
22,442
22,446
22,448
23,10
23,12
23,101
23,102
23,111
24,75
24,77
24,89
24,91
24,92
24,93
24,94
24,95
24,97
24,98
24,103
24,105
24,107
24,491
25,36
25,47
25,56
26,158
26,159
26,220
26,432
26,433
26,434
26,436
26,439
27,198
27,199
27,200
27,201
27,203
28,204
28,207
28,208
28,209
28,210
28,211
29,212
29,215
29,216
29,217
29,218
29,219
29,396
29,398
29,399
29,400
29,426
29,428
29,429
29,430
29,435
29,440
30,386
30,387
30,390
30,402
30,490
31,360
32,26
33,5
33,6
33,7
33,8
33,9
33,29
34,121
34,136
34,137
34,138
34,139
34,140
34,146
34,147
35,150
35,151
35,164
35,165
35,441
35,464
35,500
36,27
36,116
37,1
37,2
37,4
37,112
37,115
37,120
37,122
37,123
38,124
38,125
38,126
38,128
39,129
39,130
39,132
39,133
39,134
39,135
40,144
40,145
40,148
40,156
40,157
40,458
40,466
40,493
40,496
40,497
41,59
42,444
43,268
43,279
43,283
43,285
43,297
43,309
43,310
44,278
44,304
44,305
44,306
44,307
44,308
44,495
45,299
45,323
45,324
45,325
45,326
46,349
46,350
46,351
46,352
46,361
46,501
47,261
47,263
47,265
47,267
47,271
47,273
48,275
48,276
48,280
48,281
48,282
48,286
48,287
49,264
49,266
49,269
49,272
49,298
49,300
49,301
49,302
50,337
50,338
50,355
50,376
50,377
51,394
51,395
52,254
52,318
52,319
52,320
52,353
52,393
53,311
53,312
53,315
53,316
53,317
53,328
53,329
54,370
54,371
54,373
54,404
54,406
54,407
54,408
54,410
54,411
54,413
55,330
55,331
55,333
55,334
55,335
55,336
55,339
55,340
55,341
55,342
56,343
56,344
56,345
56,346
56,347
56,348
56,356
56,357
56,359
57,362
57,363
57,364
57,365
57,368
57,369
57,374
57,375
57,378
57,379
58,223
58,224
58,225
58,226
58,227
59,228
59,229
59,230
59,231
59,232
60,233
60,234
60,236
60,240
60,241
60,242
60,243
60,244
61,246
61,247
61,248
61,256
61,257
61,258
61,291
61,292
61,293
62,251
62,252
62,253
63,288
63,289
63,290
63,294
63,295
63,296
63,313
64,60
65,249
65,250
65,380
65,381
65,383
65,384
65,385
65,389
65,392
65,403
